,License Number,License Type,Name of Program,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,County,Phone,License Status,License Holder,Capacity,Type Of License,Restrictions,Services,Licensing Authority,Initial Effective Date,Current Effective Date,Expiration Date,License Holder Lives Onsite,Unnamed: 22,full_address,location,latitude,longitude,weight
987,1005122,Child Care Center,Living Christ Early Learning Center,820 LAKE DR,,,Chanhassen,MN,55317,Carver,(952) 934-5110,Active,Living Christ Lutheran Church,92 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/14/2000,01/01/2023,12/31/2023,   ,,820 LAKE DR Chanhassen MN 55317,"820 Lake Dr, Chanhassen, MN 55317, USA",44.8580979,-93.5413466,
988,1104431,Child Care Center,Living Word Childcare Center,3255 SPRING ST NE,,,Minneapolis,MN,55413,Hennepin,(651) 842-8729,Active,Living Word Church and World Outreach Ministries,50 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/19/2021,01/01/2023,12/31/2023,   ,,3255 SPRING ST NE Minneapolis MN 55413,"3255 Spring St NE, Minneapolis, MN 55413, USA",44.9960642,-93.21484459999999,
989,1096921,Child Care Center,Long Prairie CentraCare,20 9th ST. SE,,,Long Prairie,MN,56345,Todd,(320) 632-3691,Active,Tri County Community Action Partnership Inc,23 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/21/2019,01/01/2023,12/31/2023,   ,,20 9th ST. SE Long Prairie MN 56345,"20 9th St SE, Long Prairie, MN 56347, USA",45.9736631,-94.8485635,
990,830820,Child Care Center,Long Prairie Head Start Early Childhood Family Center,205 S 2nd St,,,Long Prairie,MN,56347,Todd,(320) 732-6986,Active,Tri County Community Action Partnership Inc,25 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/01/1998,01/01/2023,12/31/2023,   ,,205 S 2nd St Long Prairie MN 56347,"205 2nd St S, Long Prairie, MN 56347, USA",45.971174,-94.86325079999999,
991,830760,Child Care Center,Lord Of Life Preschool ,14501 NOWTHEN BLVD NW,,,Ramsey,MN,55303,Anoka,(763) 427-1100,Active,Lord Of Life Lutheran Church,60 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/01/1998,01/23/2023,12/31/2023,   ,,14501 NOWTHEN BLVD NW Ramsey MN 55303,"14501 Nowthen Blvd NW, Ramsey, MN 55303, USA",45.2357679,-93.40336599999999,
992,1096229,Child Care Center,Los Amiguitos De River Heights,6070 CAHILL AVE,,,Inver Grove Heights,MN,55076,Dakota,(651) 307-8870,Active,Los Amiguitos De River Heights LLC,34 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/05/2019,01/01/2023,12/31/2023,   ,,6070 CAHILL AVE Inver Grove Heights MN 55076,"6070 Cahill Ave, Inver Grove Heights, MN 55076, USA",44.8603898,-93.0442797,
993,1085841,Child Care Center,Love and Learn Childcare Academy Inc,5801 RIDGEWOOD RD,,,Saint Cloud,MN,56303,Stearns,(320) 774-2900,Active,Love and Learn Childcare Academy Inc,103,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/30/2017,01/01/2023,12/31/2023,   ,,5801 RIDGEWOOD RD Saint Cloud MN 56303,"5801 Ridgewood Rd, St Cloud, MN 56303, USA",45.5704846,-94.2306711,
994,831060,Child Care Center,Love To Grow On,6499 LAKOTA TRL,,,Lino Lakes,MN,55014,Anoka,(763) 792-4428,Active,Love to Grow On,184,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/15/1999,01/01/2023,12/31/2023,   ,,6499 LAKOTA TRL Lino Lakes MN 55014,"6499 Lakota Tr, Lino Lakes, MN 55014, USA",45.1416808,-93.12562009999999,
995,1101101,Child Care Center,Lovely Child Care Center LLC,1520 24TH AVE N,,,Saint Cloud,MN,56303,Stearns,(320) 774-3400,Active,Lovely Child Care Center LLC,107,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/14/2019,01/01/2023,12/31/2023,   ,,1520 24TH AVE N Saint Cloud MN 56303,"1520 24th Ave N, St Cloud, MN 56303, USA",45.5784104,-94.18485199999999,
996,809621,Child Care Center,Loving Arms Child Care Center,1101 SW Willmar Ave, ,,Willmar,MN,56201,Kandiyohi,(320) 235-7271,Active,Vinje Lutheran Church of Willmar,99 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/02/1995,01/01/2023,12/31/2023,   ,,1101 SW Willmar Ave Willmar MN 56201,"1101 Willmar Ave SW, Willmar, MN 56201, USA",45.1103237,-95.057836,
997,1113454,Child Care Center,Loving Care Center Inc.,2505 5TH AVE S,,,Minneapolis,MN,55404,Hennepin,(952) 686-4637,Active,Loving Care Center Inc.,80 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/29/2022,01/01/2023,12/31/2023,   ,,2505 5TH AVE S Minneapolis MN 55404,"Fifth Ave S, Minneapolis, MN 55404, USA",44.9730342,-93.2662552,
998,800907,Child Care Center,Loving Shepherd Early Learning Center,5501 GLENWOOD AVE,,,Golden Valley,MN,55422,Hennepin,(763) 544-0590,Active,Golden Valley Lutheran Church,144,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/23/1989,01/01/2023,12/31/2023,   ,,5501 GLENWOOD AVE Golden Valley MN 55422,"5501 Glenwood Ave, Golden Valley, MN 55422, USA",44.977278,-93.35088350000001,
999,1019635,Child Care Center,Loyola Preschool,145 Good Counsel Dr,,,Mankato,MN,56001,Blue Earth,(507) 388-0600,Active,"Mankato Area Catholic Schools,Inc.",80 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/11/2002,01/01/2023,12/31/2023,   ,,145 Good Counsel Dr Mankato MN 56001,"145 Good Counsel Dr, Mankato, MN 56001, USA",44.1830493,-93.9757259,
1000,1065870,Child Care Center,Lucky Child Care Center LLC,525 Lowry Ave NE,,,Minneapolis,MN,55418,Hennepin,(612) 232-2037,Active,Lucky Child Care Center LLC,99 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/18/2013,01/01/2023,12/31/2023,   ,,525 Lowry Ave NE Minneapolis MN 55418,"525 NE Lowry Ave, Minneapolis, MN 55418, USA",45.0134291,-93.2596863,
1001,1112078,Child Care Center,Luminary Montessori Preschool,3810 LEXINGTON AVE S,,,Eagan,MN,55123,Dakota,(651) 456-9464,Active,"Tomorrow's Kids Montessori Preschool, Inc.",30 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/13/2022,01/01/2023,12/31/2023,   ,,3810 LEXINGTON AVE S Eagan MN 55123,"3810 Lexington Ave S, Eagan, MN 55123, USA",44.8186383,-93.1461696,
1002,1088274,Child Care Center,Luthers Little Explorers,315 15TH AVE N,,,South St Paul,MN,55075,Dakota,(651) 457-1475,Active,Luthers Little Explorers,56 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/04/2018,01/01/2023,12/31/2023,   ,,315 15TH AVE N South St Paul MN 55075,"315 15th Ave N, South St Paul, MN 55075, USA",44.89478320000001,-93.05331819999999,
1003,801460,Child Care Center,Macalester Plymouth Preschool,1658 Lincoln Ave, ,,Saint Paul,MN,55105,Ramsey,(651) 698-5472,Active,Macalester Plymouth Preschool,52 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/01/1966,01/01/2023,12/31/2023,   ,,1658 Lincoln Ave Saint Paul MN 55105,"1658 Lincoln Ave, St Paul, MN 55105, USA",44.9387098,-93.17020020000001,
1004,801462,Child Care Center,MacDonald Montessori School,175 WESTERN AVE S,,,Saint Paul,MN,55102,Ramsey,(651) 227-1039,Active,"MacDonald Montessori School, Inc.",188,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/01/1983,01/01/2023,12/31/2023,   ,,175 WESTERN AVE S Saint Paul MN 55102,"175 Western Ave S, St Paul, MN 55102, USA",44.936063,-93.1163741,
1005,1048390,Child Care Center,Madina Academy LLC,4025 University Ave NE,,,Columbia Heights,MN,55421,Anoka,(763) 789-4923,Active,Madina Academy LLC,56 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,Conditional Use Permit sets maximum of 56 children cared for on premises.,Child Care Center,Minnesota Department of Human Services,10/01/2007,01/01/2023,12/31/2023,   ,,4025 University Ave NE Columbia Heights MN 55421,"4025 University Ave NE, Minneapolis, MN 55421, USA",45.04173720000001,-93.262438,
1006,1110616,Child Care Center,Madison Head Start,422 5TH AVE,,,Madison,MN,56256,Lac Qui Parle,(320) 598-3118,Active,"Prairie Five Community Action Council, Incorporated",40 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/2023,01/01/2023,12/31/2023,   ,,422 5TH AVE Madison MN 56256,"422 5th Ave, Madison, MN 56256, USA",45.0131338,-96.19117109999999,
1007,1075950,Child Care Center,Magic Forest Childcare Center & Preschool LLC,1411 8th St NE,,,Staples,MN,56479,Wadena,(218) 895-5330,Active,Magic Forest Childcare Center and Preschool L.L.C.,49 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,"Per state fire marshal, facility cannot increase capacity over 49 without a sprinkler system.",Child Care Center,Minnesota Department of Human Services,01/12/2015,01/01/2023,12/31/2023,   ,,1411 8th St NE Staples MN 56479,"1411 8th St NE, Staples, MN 56479, USA",46.3713855,-94.78960909999999,
1008,1078046,Child Care Center,Magical Minds Childcare & Learning Center,6740 Stillwater Blvd,,,Stillwater,MN,55082,Washington,(651) 439-8900,Active,Magical Minds Childcare & Learning Center,68 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/03/2015,01/01/2023,12/31/2023,   ,,6740 Stillwater Blvd Stillwater MN 55082,"6740 Stillwater Blvd, Stillwater, MN 55082, USA",45.0470914,-92.8367215,
1009,830358,Child Care Center,Mahube-Otwa Community Action - Detroit Lakes Head Start Center,1125 W RIVER RD,,,Detroit Lakes,MN,56501,Becker,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,80 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/02/1997,01/01/2023,12/31/2023,   ,,1125 W RIVER RD Detroit Lakes MN 56501,"1125 W River Rd, Detroit Lakes, MN 56501, USA",46.82478,-95.8266448,
1010,1088247,Child Care Center,Mahube-Otwa Community Action - Head Start Frazee Business Center,119 E MAIN AVE,,,Frazee,MN,56544,Becker,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,16 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/20/2017,01/01/2023,12/31/2023,   ,,119 E MAIN AVE Frazee MN 56544,"119 E Main Ave, Frazee, MN 56544, USA",46.7275056,-95.6998079,
1011,1114964,Child Care Center,MAHUBE-OTWA Community Action – Park Rapids Century Preschool Head Star,501 HELTEN AVE,,,Park Rapids,MN,56470,Hubbard,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,60 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/03/2022,01/01/2023,12/31/2023,   ,,501 HELTEN AVE Park Rapids MN 56470,"501 Helten Ave, Park Rapids, MN 56470, USA",46.9277856,-95.07192219999999,
1012,800136,Child Care Center,Mahube-Otwa Community Action-Audubon/Lake Park Head Start Center,675 Falcon Street,,,Audubon,MN,56511,Becker,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,11/01/1981,01/01/2023,12/31/2023,   ,,675 Falcon Street Audubon MN 56511,"675 Falcon St, Audubon, MN 56511, USA",46.86204069999999,-95.9858975,
1013,804201,Child Care Center,Mahube-Otwa Community Action-Frazee Elementary Head Start Center,305 N LAKE ST,,,Frazee,MN,56544,Becker,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,18 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/13/1991,01/01/2023,12/31/2023,   ,,305 N LAKE ST Frazee MN 56544,"305 S Lake St, Frazee, MN 56544, USA",46.7260082,-95.70324869999999,
1014,801467,Child Care Center,Mahube-Otwa Community Action-Mahnomen Head Start Center,310 W MADISON AVE,,,Mahnomen,MN,56557,Mahnomen,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/07/1991,01/01/2023,12/31/2023,   ,,310 W MADISON AVE Mahnomen MN 56557,"310 W Madison Ave, Mahnomen, MN 56557, USA",47.3139119,-95.971868,
1015,810927,Child Care Center,Mahube-Otwa Community Action-MNState Head Start Center,900 HIGHWAY 34 E,,,Detroit Lakes,MN,56501,Becker,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,40 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/1997,01/01/2023,12/31/2023,   ,,900 HIGHWAY 34 E Detroit Lakes MN 56501,"900 MN-34, Detroit Lakes, MN 56501, USA",46.8263949,-95.8329499,
1016,801870,Child Care Center,Mahube-Otwa Community Action-Park Rapids Head Start Center,120 CENTRAL AVE N,,,Park Rapids,MN,56470,Hubbard,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,16 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,12/01/1981,02/27/2023,12/31/2023,   ,,120 CENTRAL AVE N Park Rapids MN 56470,"120 N Central Ave, Park Rapids, MN 56470, USA",46.9233608,-95.04732829999999,
1017,1090956,Child Care Center,Mai Child Care Academy Corp.,4666 85th Ave N,,,Brooklyn Park,MN,55443,Hennepin,(763) 458-0443,Active,Mai Child Care Academy Corp.,113,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/27/2018,01/01/2023,12/31/2023,   ,,4666 85th Ave N Brooklyn Park MN 55443,"4666 85th Ave N, Brooklyn Park, MN 55443, USA",45.1097535,-93.34009139999999,
1018,1105673,Child Care Center,Main Square Montessori,123 W 4TH ST,,,Winona,MN,55987,Winona,(507) 474-6246,Active,Cotter Schools,42 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,07/21/2020,01/02/2023,12/31/2023,   ,,123 W 4TH ST Winona MN 55987,"123 W 4th St, Winona, MN 55987, USA",44.0519065,-91.6395874,
1019,1055790,Child Care Center,Mandala Montessori Inc,1620 E 46TH ST,,,Minneapolis,MN,55407,Hennepin,(612) 259-8781,Active,"Mandala Montessori, Incorporated.",38 ,Service: Day time child care Ages Served: Preschool     School-Age       ,"Per state fire marshal, facility limited to 49 children maximum due to limited fire alarm protection.",Child Care Center,Minnesota Department of Human Services,08/02/2010,01/01/2023,12/31/2023,   ,,1620 E 46TH ST Minneapolis MN 55407,"1620 E 46th St, Minneapolis, MN 55407, USA",44.91995,-93.25038769999999,
1020,1063639,Child Care Center,Mandala Montessori Inc,3701 E 50th St,,,Minneapolis,MN,55417,Hennepin,(612) 315-2615,Active,"Mandala Montessori, Incorporated.",22 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/25/2013,01/01/2023,12/31/2023,   ,,3701 E 50th St Minneapolis MN 55417,"3701 E 50th St, Minneapolis, MN 55417, USA",44.9122824,-93.21870729999999,
1021,1098590,Child Care Center,Mankato Fitzgerald Head Start Center,110 N 5TH ST,,,Mankato,MN,56001,Blue Earth,(507) 345-2421,Active,"Minnesota Valley Action Council, Inc.",58 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/05/2019,01/01/2023,12/31/2023,   ,,110 N 5TH ST Mankato MN 56001,"110 N 5th St, Mankato, MN 56001, USA",44.1654978,-93.99733479999999,
1022,1037234,Child Care Center,Mankato Head Start,105 N 5TH ST,,,Mankato,MN,56001,Blue Earth,(507) 345-1485,Active,"Minnesota Valley Action Council, Inc.",54 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/13/2005,01/01/2023,12/31/2023,   ,,105 N 5TH ST Mankato MN 56001,"105 N 5th St, Mankato, MN 56001, USA",44.1652655,-93.9963341,
1023,1074790,Child Care Center,Many Rivers Montessori,110 W REDWING ST,,,Duluth,MN,55803,St. Louis,(218) 464-5570,Active,Many Rivers Montessori,149,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/03/2014,01/03/2023,12/31/2023,   ,,110 W REDWING ST Duluth MN 55803,"110 W Redwing St, Duluth, MN 55803, USA",46.8494421,-92.08434899999999,
1024,1063119,Child Care Center,Maple Tree Day School,1001 Marie Ave,,,South St Paul,MN,55075,Dakota,(651) 552-1265,Active,Honeycomb Incorporated,53 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/04/2012,01/03/2023,12/31/2023,   ,,1001 Marie Ave South St Paul MN 55075,"1001 Marie Ave, South St Paul, MN 55075, USA",44.8906009,-93.0465564,
1025,804185,Child Care Center,Maple Tree Monastery Childcare Center (The),2625 BENET RD,,,Maplewood ,MN,55109,Ramsey,(651) 770-0766,Active,St Pauls Monastery,74 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/09/1991,01/01/2023,12/31/2023,   ,,2625 BENET RD Maplewood  MN 55109,"2625 Benet Rd, Maplewood, MN 55109, USA",44.99448779999999,-92.9890499,
1026,830764,Child Care Center,Maranatha Christian Academy Preschool,9201 75th Ave N,,,Brooklyn Park,MN,55428,Hennepin,(763) 488-7900,Active,Living Word Maranatha Early Learning Center,80 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/20/1998,01/01/2023,12/31/2023,   ,,9201 75th Ave N Brooklyn Park MN 55428,"9201 75th Ave N, Brooklyn Park, MN 55428, USA",45.08927389999999,-93.39710570000001,
1027,1011527,Child Care Center,Maranatha Preschool,24799 FOREST BLVD,,,Forest Lake,MN,55025,Chisago,(651) 797-7399,Active,Maranatha Assembly Of God,20 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/04/2001,01/01/2023,12/31/2023,   ,,24799 FOREST BLVD Forest Lake MN 55025,"24799 Forest Blvd N, Forest Lake, MN 55025, USA",45.3090455,-92.9852569,
1028,801722,Child Care Center,Marquette Early Learning Center,311 3rd St S,,,Virginia,MN,55792,St. Louis,(218) 741-6811,Active,Marquette Catholic School,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/13/1988,01/01/2023,12/31/2023,   ,,311 3rd St S Virginia MN 55792,"311 3rd St S, Virginia, MN 55792, USA",47.5207305,-92.53559969999999,
1029,1083793,Child Care Center,Marshall Area Head Start,1402 S SARATOGA ST,,,Marshall,MN,56258,Lyon,,Active,United Community Action Partnership Inc,124,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/11/2017,01/01/2023,12/31/2023,   ,,1402 S SARATOGA ST Marshall MN 56258,"1402 S Saratoga St, Marshall, MN 56258, USA",44.4287648,-95.7890694,
1030,830674,Child Care Center,Martin Luther College of Early Childhood Learning,405 N Highland Ave,,,New Ulm,MN,56073,Brown,(507) 233-9105,Active,Martin Luther College,93 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,05/07/1998,01/01/2023,12/31/2023,   ,,405 N Highland Ave New Ulm MN 56073,"405 N Highland Ave, New Ulm, MN 56073, USA",44.3091982,-94.48037839999999,
1031,1095984,Child Care Center,Mary Katherine School (The) ,8517 LYNDALE AVE S,,,Bloomington,MN,55420,Hennepin,(952) 446-5699,Active,The Mary Katherine School LLC,47 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,12/17/2018,01/01/2023,12/31/2023,   ,,8517 LYNDALE AVE S Bloomington MN 55420,"8517 Lyndale Ave S, Bloomington, MN 55420, USA",44.84969539999999,-93.28773960000001,
1032,806299,Child Care Center,Mary of Lourdes Preschool,307 SE 4th St,,,Little Falls,MN,56345,Morrison,(320) 632-5408,Active,Mary of Lourdes School,10 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/19/1993,01/01/2023,12/31/2023,   ,,307 SE 4th St Little Falls MN 56345,"307 4th St SE, Little Falls, MN 56345, USA",45.9730856,-94.3577818,
1033,1081191,Child Care Center,Mary Queen of Peace Catholic School,21304 CHURCH AVE,,,Rogers,MN,55374,Hennepin,(763) 428-2355,Active,Mary Queen of Peace Catholic School,40 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/30/2016,01/01/2023,12/31/2023,   ,,21304 CHURCH AVE Rogers MN 55374,"21304 Church Ave, Rogers, MN 55374, USA",45.18913,-93.5504224,
1034,1061724,Child Care Center,Mary T Wellcome Child Development Center,1301 10th Ave N,,,Minneapolis,MN,55411,Hennepin,(612) 374-4342,Active,Phyllis Wheatley Community Center,55 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,05/07/2012,01/01/2023,12/31/2023,   ,,1301 10th Ave N Minneapolis MN 55411,"1301 N 10th Ave, Minneapolis, MN 55411, USA",44.98759769999999,-93.2958262,
1035,801496,Child Care Center,Mayflower Early Childhood  Center,106 E Diamond Lk Rd,,,Minneapolis,MN,55419,Hennepin,(612) 825-5914,Active,Mayflower Early Childhood Center,103,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/01/1961,01/01/2023,12/31/2023,   ,,106 E Diamond Lk Rd Minneapolis MN 55419,"106 E Diamond Lake Rd, Minneapolis, MN 55419, USA",44.9042251,-93.2763598,
1036,1113157,Child Care Center,Mayo Clinic Children's R&R,3535 40TH AVE NW,,,Rochester,MN,55901,Olmsted,(507) 266-7727,Active,Mayo Foundation for Medical Education and Research,24 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/01/2022,01/01/2023,12/31/2023,   ,,3535 40TH AVE NW Rochester MN 55901,"3535 40th Ave NW, Rochester, MN 55901, USA",44.0595175,-92.5224113,
1037,801505,Child Care Center,Mc Donough Head Start,1544 Timberlake Rd, , ,Saint Paul,MN,55117,Ramsey,(651) 558-2188,Active,Community Action Partnership of Ramsey and Washington Counties,80 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/1988,01/01/2023,12/31/2023,   ,,1544 Timberlake Rd Saint Paul MN 55117,"1544 Timberlake Rd, St Paul, MN 55117, USA",44.9876734,-93.0924797,
1038,1112540,Child Care Center,McKnight Child Daycare Center,297 MCKNIGHT RD S,,,Saint Paul,MN,55119,Ramsey,(651) 735-0117,Active,McKnight Child Daycare Center Inc.,60 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,"Per building inspector, facility does not meet requirements, but may be temporarily occupied until 5/1/2023, pending completio",Child Care Center,Minnesota Department of Human Services,03/01/2023,03/01/2023,12/31/2023,   ,,297 MCKNIGHT RD S Saint Paul MN 55119,"297 McKnight Rd S, Maplewood, MN 55119, USA",44.93204799999999,-93.0048357,
1039,804668,Child Care Center,McKnight Early Childhood Family Development Center,4225 3rd Ave S, , ,Minneapolis,MN,55409,Hennepin,(612) 825-7422,Active,"Parents in Community Action, Inc.",549,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/1999,01/01/2023,12/31/2023,   ,,4225 3rd Ave S Minneapolis MN 55409,"4225 3rd Ave S, Minneapolis, MN 55409, USA",44.9260309,-93.2710938,
1040,801508,Child Care Center,Meadow Park Day Care Center dba Meadow Park Preschool & Child Care Cen,971 16th St SE,,,Rochester,MN,55904,Olmsted,(507) 289-6483,Active,"Meadow Park Day Care Center, Inc.",42 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/16/1969,01/01/2023,12/31/2023,   ,,971 16th St SE Rochester MN 55904,"971 16th St SE, Rochester, MN 55904, USA",44.0008169,-92.447397,
1041,1082195,Child Care Center,Medley Village,732 Holly Ave,,,Saint Paul,MN,55104,Ramsey,(651) 210-1458,Active,Medley Village LLC,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,11/01/2016,01/01/2023,12/31/2023,   ,,732 Holly Ave Saint Paul MN 55104,"732 Holly Ave, St Paul, MN 55104, USA",44.9429611,-93.1310389,
1042,1049280,Child Care Center,Memories & Milestones Academy,1501 1st Street NE,,,New Prague,MN,56071,Scott,(952) 758-5437,Active,Memories & Milestones Academy,125,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/25/2008,01/01/2023,12/31/2023,   ,,1501 1st Street NE New Prague MN 56071,"1501 1st St NE, New Prague, MN 56071, USA",44.5453631,-93.5557293,
1043,1080973,Child Care Center,Merry Moose Childcare & Preschool,157 E Broadway,,,Rockville,MN,56369,Stearns,(320) 443-0176,Active,Merry Moose Childcare and Preschool LLC,43 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/23/2016,01/01/2023,12/31/2023,   ,,157 E Broadway Rockville MN 56369,"Rockville, MN 56369, USA",45.4728604,-94.33641949999999,
1044,1094823,Child Care Center,Merry Moose Childcare and Preschool # 2,19693 STATE HIGHWAY 23,,,Richmond,MN,56368,Stearns,(320) 241-0248,Active,Merry Moose Childcare and Preschool LLC,53 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/30/2018,01/02/2023,12/31/2023,   ,,19693 STATE HIGHWAY 23 Richmond MN 56368,"19693 MN-23, Richmond, MN 56368, USA",45.4492922,-94.51399839999999,
1045,1111379,Child Care Center,Merry Moose Childcare and Preschool 3,414 Jay Avenue SE,,,Richmond,MN,56368,Stearns,(320) 292-2247,Active,Merry Moose Childcare and Preschool LLC,80 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/10/2022,01/01/2023,12/31/2023,   ,,414 Jay Avenue SE Richmond MN 56368,"414 Jay Ave SE, Richmond, MN 56368, USA",45.4507459,-94.5157562,
