,License Number,License Type,Name of Program,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,County,Phone,License Status,License Holder,Capacity,Type Of License,Restrictions,Services,Licensing Authority,Initial Effective Date,Current Effective Date,Expiration Date,License Holder Lives Onsite,Unnamed: 22
1013,804201,Child Care Center,Mahube-Otwa Community Action-Frazee Elementary Head Start Center,305 N LAKE ST,,,Frazee,MN,56544-4512,Becker,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,18 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/13/1991,01/01/2023,12/31/2023,   ,
1014,801467,Child Care Center,Mahube-Otwa Community Action-Mahnomen Head Start Center,310 W MADISON AVE,,,Mahnomen,MN,56557-4930,Mahnomen,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/07/1991,01/01/2023,12/31/2023,   ,
1015,810927,Child Care Center,Mahube-Otwa Community Action-MNState Head Start Center,900 HIGHWAY 34 E,,,Detroit Lakes,MN,56501-2643,Becker,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,40 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/1997,01/01/2023,12/31/2023,   ,
1016,801870,Child Care Center,Mahube-Otwa Community Action-Park Rapids Head Start Center,120 CENTRAL AVE N,,,Park Rapids,MN,56470-1219,Hubbard,(218) 847-1385,Active,Mahube Otwa Community Action Partnership Inc,16 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,12/01/1981,02/27/2023,12/31/2023,   ,
1017,1090956,Child Care Center,Mai Child Care Academy Corp.,4666 85th Ave N,,,Brooklyn Park,MN,55443     ,Hennepin,(763) 458-0443,Active,Mai Child Care Academy Corp.,113,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/27/2018,01/01/2023,12/31/2023,   ,
1018,1105673,Child Care Center,Main Square Montessori,123 W 4TH ST,,,Winona,MN,55987-3103,Winona,(507) 474-6246,Active,Cotter Schools,42 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,07/21/2020,01/02/2023,12/31/2023,   ,
1019,1055790,Child Care Center,Mandala Montessori Inc,1620 E 46TH ST,,,Minneapolis,MN,55407-3623,Hennepin,(612) 259-8781,Active,"Mandala Montessori, Incorporated.",38 ,Service: Day time child care Ages Served: Preschool     School-Age       ,"Per state fire marshal, facility limited to 49 children maximum due to limited fire alarm protection.",Child Care Center,Minnesota Department of Human Services,08/02/2010,01/01/2023,12/31/2023,   ,
1020,1063639,Child Care Center,Mandala Montessori Inc,3701 E 50th St,,,Minneapolis,MN,55417     ,Hennepin,(612) 315-2615,Active,"Mandala Montessori, Incorporated.",22 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/25/2013,01/01/2023,12/31/2023,   ,
1021,1098590,Child Care Center,Mankato Fitzgerald Head Start Center,110 N 5TH ST,,,Mankato,MN,56001-4441,Blue Earth,(507) 345-2421,Active,"Minnesota Valley Action Council, Inc.",58 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/05/2019,01/01/2023,12/31/2023,   ,
1022,1037234,Child Care Center,Mankato Head Start,105 N 5TH ST,,,Mankato,MN,56001-5371,Blue Earth,(507) 345-1485,Active,"Minnesota Valley Action Council, Inc.",54 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/13/2005,01/01/2023,12/31/2023,   ,
1023,1074790,Child Care Center,Many Rivers Montessori,110 W REDWING ST,,,Duluth,MN,55803-1706,St. Louis,(218) 464-5570,Active,Many Rivers Montessori,149,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/03/2014,01/03/2023,12/31/2023,   ,
1024,1063119,Child Care Center,Maple Tree Day School,1001 Marie Ave,,,South St Paul,MN,55075     ,Dakota,(651) 552-1265,Active,Honeycomb Incorporated,53 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/04/2012,01/03/2023,12/31/2023,   ,
1025,804185,Child Care Center,Maple Tree Monastery Childcare Center (The),2625 BENET RD,,,Maplewood ,MN,55109-4808,Ramsey,(651) 770-0766,Active,St Pauls Monastery,74 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/09/1991,01/01/2023,12/31/2023,   ,
1026,830764,Child Care Center,Maranatha Christian Academy Preschool,9201 75th Ave N,,,Brooklyn Park,MN,55428     ,Hennepin,(763) 488-7900,Active,Living Word Maranatha Early Learning Center,80 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/20/1998,01/01/2023,12/31/2023,   ,
1027,1011527,Child Care Center,Maranatha Preschool,24799 FOREST BLVD,,,Forest Lake,MN,55025-7215,Chisago,(651) 797-7399,Active,Maranatha Assembly Of God,20 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/04/2001,01/01/2023,12/31/2023,   ,
1028,801722,Child Care Center,Marquette Early Learning Center,311 3rd St S,,,Virginia,MN,55792     ,St. Louis,(218) 741-6811,Active,Marquette Catholic School,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/13/1988,01/01/2023,12/31/2023,   ,
1029,1083793,Child Care Center,Marshall Area Head Start,1402 S SARATOGA ST,,,Marshall,MN,56258-0000,Lyon,,Active,United Community Action Partnership Inc,124,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/11/2017,01/01/2023,12/31/2023,   ,
1030,830674,Child Care Center,Martin Luther College of Early Childhood Learning,405 N Highland Ave,,,New Ulm,MN,56073     ,Brown,(507) 233-9105,Active,Martin Luther College,93 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,05/07/1998,01/01/2023,12/31/2023,   ,
1031,1095984,Child Care Center,Mary Katherine School (The) ,8517 LYNDALE AVE S,,,Bloomington,MN,55420-2237,Hennepin,(952) 446-5699,Active,The Mary Katherine School LLC,47 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,12/17/2018,01/01/2023,12/31/2023,   ,
1032,806299,Child Care Center,Mary of Lourdes Preschool,307 SE 4th St,,,Little Falls,MN,56345     ,Morrison,(320) 632-5408,Active,Mary of Lourdes School,10 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/19/1993,01/01/2023,12/31/2023,   ,
1033,1081191,Child Care Center,Mary Queen of Peace Catholic School,21304 CHURCH AVE,,,Rogers,MN,55374-9189,Hennepin,(763) 428-2355,Active,Mary Queen of Peace Catholic School,40 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/30/2016,01/01/2023,12/31/2023,   ,
1034,1061724,Child Care Center,Mary T Wellcome Child Development Center,1301 10th Ave N,,,Minneapolis,MN,55411     ,Hennepin,(612) 374-4342,Active,Phyllis Wheatley Community Center,55 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,05/07/2012,01/01/2023,12/31/2023,   ,
1035,801496,Child Care Center,Mayflower Early Childhood  Center,106 E Diamond Lk Rd,,,Minneapolis,MN,55419     ,Hennepin,(612) 825-5914,Active,Mayflower Early Childhood Center,103,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/01/1961,01/01/2023,12/31/2023,   ,
1036,1113157,Child Care Center,Mayo Clinic Children's R&R,3535 40TH AVE NW,,,Rochester,MN,55901-1768,Olmsted,(507) 266-7727,Active,Mayo Foundation for Medical Education and Research,24 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/01/2022,01/01/2023,12/31/2023,   ,
1037,801505,Child Care Center,Mc Donough Head Start,1544 Timberlake Rd, , ,Saint Paul,MN,55117     ,Ramsey,(651) 558-2188,Active,Community Action Partnership of Ramsey and Washington Counties,80 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/1988,01/01/2023,12/31/2023,   ,
1038,1112540,Child Care Center,McKnight Child Daycare Center,297 MCKNIGHT RD S,,,Saint Paul,MN,55119-5305,Ramsey,(651) 735-0117,Active,McKnight Child Daycare Center Inc.,60 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,"Per building inspector, facility does not meet requirements, but may be temporarily occupied until 5/1/2023, pending completio",Child Care Center,Minnesota Department of Human Services,03/01/2023,03/01/2023,12/31/2023,   ,
1039,804668,Child Care Center,McKnight Early Childhood Family Development Center,4225 3rd Ave S, , ,Minneapolis,MN,55409     ,Hennepin,(612) 825-7422,Active,"Parents in Community Action, Inc.",549,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/1999,01/01/2023,12/31/2023,   ,
1040,801508,Child Care Center,Meadow Park Day Care Center dba Meadow Park Preschool & Child Care Cen,971 16th St SE,,,Rochester,MN,55904-0000,Olmsted,(507) 289-6483,Active,"Meadow Park Day Care Center, Inc.",42 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/16/1969,01/01/2023,12/31/2023,   ,
1041,1082195,Child Care Center,Medley Village,732 Holly Ave,,,Saint Paul,MN,55104     ,Ramsey,(651) 210-1458,Active,Medley Village LLC,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,11/01/2016,01/01/2023,12/31/2023,   ,
1042,1049280,Child Care Center,Memories & Milestones Academy,1501 1st Street NE,,,New Prague,MN,56071     ,Scott,(952) 758-5437,Active,Memories & Milestones Academy,125,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/25/2008,01/01/2023,12/31/2023,   ,
1043,1080973,Child Care Center,Merry Moose Childcare & Preschool,157 E Broadway,,,Rockville,MN,56369     ,Stearns,(320) 443-0176,Active,Merry Moose Childcare and Preschool LLC,43 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/23/2016,01/01/2023,12/31/2023,   ,
1044,1094823,Child Care Center,Merry Moose Childcare and Preschool # 2,19693 STATE HIGHWAY 23,,,Richmond,MN,56368-8133,Stearns,(320) 241-0248,Active,Merry Moose Childcare and Preschool LLC,53 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/30/2018,01/02/2023,12/31/2023,   ,
1045,1111379,Child Care Center,Merry Moose Childcare and Preschool 3,414 Jay Avenue SE,,,Richmond,MN,56368-0000,Stearns,(320) 292-2247,Active,Merry Moose Childcare and Preschool LLC,80 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/10/2022,01/01/2023,12/31/2023,   ,
1046,1088054,Child Care Center,Merry Moose Childcare Infant Center,164 Broadway St E,,,Rockville,MN,56369-0000,Stearns,(320) 217-3017,Active,Merry Moose Childcare and Preschool LLC,16 ,Service: Day time child care Ages Served: Infants       ,None,Child Care Center,Minnesota Department of Human Services,09/05/2017,01/01/2023,12/31/2023,   ,
1047,1101216,Child Care Center,Merry Moose Childcare Infant Center 2,57 MAIN ST W,,,Richmond,MN,56368-0000,Stearns,(320) 292-7692,Active,Merry Moose Childcare and Preschool LLC,16 ,Service: Day time child care Ages Served: Infants       ,None,Child Care Center,Minnesota Department of Human Services,11/27/2019,01/02/2023,12/31/2023,   ,
1048,1078602,Child Care Center,Mes Amis French School,13000 SAINT DAVIDS RD,,,Minnetonka,MN,55305-4120,Hennepin,(612) 618-9494,Active,Mes Amis French School,18 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/05/2015,01/01/2023,12/31/2023,   ,
1049,1104576,Child Care Center,Mesabi Preschool Academy LLC - Duluth,26 E SUPERIOR ST STE 103,,,Duluth,MN,55802-2124,St. Louis,(218) 348-3497,Active,Mesabi Preschool Academy LLC,42 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/03/2020,01/01/2023,12/31/2023,   ,
1050,801525,Child Care Center,Messiah Preschool Early Education Program,2848 County Rd H2, ,,Mounds View,MN,55112     ,Ramsey,(763) 784-1786,Active,Messiah Lutheran Church,60 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/17/1980,01/01/2023,12/31/2023,   ,
1051,1091485,Child Care Center,Metro Learning Center Inc.,2833 13TH AVE S STE 200,,,Minneapolis,MN,55407-0000,Hennepin,(612) 978-4709,Active,Metro Learning Center Inc.,60 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/18/2018,01/01/2023,12/31/2023,   ,
1052,1000961,Child Care Center,MetroKids,2515 WABASH AVE,,,Saint Paul,MN,55114-1093,Ramsey,(612) 332-5437,Active,MetroKids,117,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/07/1999,01/01/2023,12/31/2023,   ,
1053,1095244,Child Care Center,Mi Cometa,4000 W 76TH ST,,,Edina,MN,55435-5142,Hennepin,(952) 846-8656,Active,Child Care Core Consulting DBA Mi Cometa,95 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/23/2018,02/28/2023,12/31/2023,   ,
1054,1063775,Child Care Center,Mi Familia Childcare,2855 47th St E,,,Inver Grove Heights,MN,55076     ,Dakota,(651) 270-7037,Active,Mi Familia Childcare,84 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/01/2013,01/01/2023,12/31/2023,   ,
1055,1109752,Child Care Center,Mi Familia Education and Care Center,5300 S ROBERT TRL STE 100,,,Inver Grove Heights,MN,55077-1428,Dakota,(651) 414-0301,Active,Mi Familia Education & Care Center LLC,37 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/16/2022,03/17/2023,12/31/2023,   ,
1056,1085773,Child Care Center,Midtown Childcare Center Inc,2940 CHICAGO AVE,,,Minneapolis,MN,55407-1322,Hennepin,(612) 824-4076,Active,Midtown Child Care Center Inc,77 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/03/2018,01/01/2023,12/31/2023,   ,
1058,1100885,Child Care Center,Midway Head Start,775 LEXINGTON PKWY N,,,Saint Paul,MN,55104-1436,Ramsey,(651) 603-5999,Active,Community Action Partnership of Ramsey and Washington Counties,160,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/03/2019,01/01/2023,12/31/2023,   ,
1059,1108375,Child Care Center,Midwest Child Development LLC dba The Learning Garden ,1194 COUNTY ROAD C E,,,Maplewood ,MN,55109-1012,Ramsey,(651) 330-9425,Active,Midwest Child Development LLC,50 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,07/12/2021,01/01/2023,12/31/2023,   ,
1061,1063675,Child Care Center,Midwest Child Development LLC dba the Learning Garden,1514 ENGLEWOOD AVE,,,Saint Paul,MN,55104-1202,Ramsey,(651) 645-1225,Active,Midwest Child Development LLC,48 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/11/2012,01/30/2023,12/31/2023,   ,
1062,1054869,Child Care Center,Mighty Dragons Preschool LLC,30 W 2nd St,,,Litchfield,MN,55355     ,Meeker,(320) 221-0281,Active,Mighty Dragons Preschool LLC,59 ,Service: Day time child care Ages Served: Preschool       ,"Summer hours June-August M-F, 9:30 AM - 11:30 AM",Child Care Center,Minnesota Department of Human Services,09/08/2009,01/01/2023,12/31/2023,   ,
1063,1112235,Child Care Center,Mile's Star Daycare LLC,720 E LAKE ST,,,Minneapolis,MN,55407-1547,Hennepin,(612) 200-8077,Active,Mile's Star Daycare LLC,83 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,Per Building Inspector cannot exceed 43 school agers.,Child Care Center,Minnesota Department of Human Services,08/15/2022,01/01/2023,12/31/2023,   ,
1066,1057572,Child Care Center,Millennium Learning Center II Inc dba Small World Learning Center,1390 PAUL PKWY NE,,,Blaine,MN,55434-3931,Anoka,(763) 862-7643,Active,Millennium Learning Center II Inc dba Small World Learning Center,176,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/19/2010,01/01/2023,12/31/2023,   ,
1067,1005378,Child Care Center,Millennium Learning Center Inc DBA Small World Learning Center,13961 Maple Knoll Way,,,Maple Grove,MN,55369     ,Hennepin,(763) 416-2103,Active,Millennium Learning Center Inc DBA Small World Learning Center,100,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,02/11/2000,01/10/2023,12/31/2023,   ,
1068,1111696,Child Care Center,Mini Childcare Center Inc.,2538 25TH AVE S,,,Minneapolis,MN,55406-1235,Hennepin,(612) 208-0717,Active,Mini Childcare Center Inc.,80 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/16/2022,01/01/2023,12/31/2023,   ,
1069,1058149,Child Care Center,Mini Hops Academic Preschool,2600 Campus Dr,,,Plymouth,MN,55441     ,Hennepin,(952) 933-2452,Active,Mini Hops Gymnastics,30 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/2011,01/01/2023,12/31/2023,   ,
1070,1081768,Child Care Center,Mini Mos LLC,2 Beth Ann Dr,,,Esko,MN,55733     ,Carlton,(218) 879-5035,Active,Mini Mos LLC,102,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/15/2016,01/01/2023,12/31/2023,   ,
1071,804787,Child Care Center,Miniapple International Montessori,780 Helmo Ave,,,Oakdale,MN,55128     ,Washington,(651) 739-6275,Active,Miniapple International Montessori,130,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/08/1992,01/01/2023,12/31/2023,   ,
1072,807206,Child Care Center,Miniapple International Montessori,1875 W Perimeter Dr,,,Roseville,MN,55113     ,Ramsey,(651) 628-9575,Active,Miniapple International Montessori,110,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/22/1999,01/01/2023,12/31/2023,   ,
1073,803898,Child Care Center,Miniapple International Montessori,1125 5TH ST SE,, ,Minneapolis,MN,55414-1919,Hennepin,(612) 378-9375,Active,Miniapple International Montessori,143,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/01/1990,01/01/2023,12/31/2023,   ,
1074,1097151,Child Care Center,Minneapolis Nature Preschool,252 UPTON AVE S,,,Minneapolis,MN,55405-1947,Hennepin,(612) 413-6863,Active,Minneapolis Nature Preschool,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,02/08/2021,01/01/2023,12/31/2023,   ,
1075,809520,Child Care Center,Minnehaha Academy Preschool,4200 W River Pkwy,Room 107,,Minneapolis,MN,55406     ,Hennepin,(612) 721-3359,Active,Minnehaha Academy,48 ,Service: Day time child care Ages Served: Preschool       ,"Per state fire marshal, Room 131 restricted to 9 persons unless a second exit is provided.",Child Care Center,Minnesota Department of Human Services,08/31/1995,01/01/2023,12/31/2023,   ,
1076,1109801,Child Care Center,Minnehaha Area Child Care,5712 CEDAR AVE S,,,Minneapolis,MN,55417-2647,Hennepin,(612) 823-4369,Active,"WD SOLUTIONS, INC.",68 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,11/01/2021,01/01/2023,12/31/2023,   ,
1077,1064168,Child Care Center,Minnesota Best Childcare Center,3018 17th Ave S,,,Minneapolis,MN,55407     ,Hennepin,(612) 229-2217,Active,MN Best Child Care Center Inc,138,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,02/12/2013,01/01/2023,12/31/2023,   ,
1078,1076213,Child Care Center,Minnesota Child Care Center,312 W Lake St Ste 2935,,,Minneapolis,MN,55408     ,Hennepin,(612) 345-4185,Active,Minnesota Childcare Center Inc,102,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/23/2015,01/01/2023,12/31/2023,   ,
1079,801164,Child Care Center,Minnesota J.C.C. Early Childhood Center,4330 CEDAR LAKE RD S,,,St Louis Park,MN,55416-3700,Hennepin,(952) 381-3445,Active,Minnesota Jewish Community Center,192,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/1960,01/01/2023,12/31/2023,   ,
1080,1113287,Child Care Center,Minnesota JCC,1375 SAINT PAUL AVE,,,Saint Paul,MN,55116-2828,Ramsey,(651) 255-4760,Active,Minnesota Jewish Community Center,108,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/30/2023,01/30/2023,12/31/2023,   ,
1081,1042288,Child Care Center,"Minnesota Montessori Accelerated Learning Center, Inc.",3150 Eagle Creek Blvd,,,Shakopee,MN,55379     ,Scott,(952) 402-0303,Active,"Minnesota Montessori Accelerated Learning Center, Inc.",113,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/20/2006,01/01/2023,12/31/2023,   ,
1082,1115223,Child Care Center,Minnesota Zoo Nature Preschool,13000 ZOO BLVD,,,Apple Valley,MN,55124-4621,Dakota,(952) 431-9500,Active,Minnesota Zoological Garden,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,02/27/2023,02/27/2023,12/31/2023,   ,
1083,801563,Child Care Center,Minnetonka Montessori,471 3RD ST,,,Excelsior,MN,55331-1945,Hennepin,(952) 474-4922,Active,"Minnetonka Montessori, Inc.",20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/12/1989,01/01/2023,12/31/2023,   ,
1084,1109807,Child Care Center,Mis Amigos Preschool Chaska,110650 VILLAGE RD,,,Chaska,MN,55318-1354,Carver,(952) 529-0975,Active,Mis Amigos Spanish Immersion LLC,57 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,02/14/2022,01/01/2023,12/31/2023,   ,
1085,1100180,Child Care Center,Mis Amigos Preschool Golden Valley,5411 CIRCLE DOWN,,,Golden Valley,MN,55416-1311,Hennepin,(612) 516-7622,Active,Mis Amigos Spanish Immersion LLC,154,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/09/2019,01/01/2023,12/31/2023,   ,
1086,1056589,Child Care Center,Mis Amigos Spanish Immersion Preschool,1194 Randolph Ave,,,Saint Paul,MN,55105     ,Ramsey,(651) 728-3261,Active,Mis Amigos Spanish Immersion LLC,68 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/16/2010,01/01/2023,12/31/2023,   ,
1087,1038425,Child Care Center,Mis Amigos Spanish Immersion Preschool,412 5th Ave N,,,Hopkins,MN,55343     ,Hennepin,(952) 935-5588,Active,Mis Amigos Spanish Immersion LLC,92 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,"Per fire marshal, only 5 children under 30 months of age allowed in classrooms outside of 204 and Circulo classrooms.",Child Care Center,Minnesota Department of Human Services,11/01/2005,01/01/2023,12/31/2023,   ,
1088,1051616,Child Care Center,Miss Marie's Learning Center,14510 Pennock Ave,,,Apple Valley,MN,55124     ,Dakota,(952) 891-4640,Active,Marie Zurick,60 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/03/2008,01/01/2023,12/31/2023,   ,
1089,801568,Child Care Center,Mississippi Valley Montessori School,1575 Charlton St, ,,West St Paul,MN,55118     ,Dakota,(651) 450-6693,Active,Mississippi Valley Montessori School,55 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,12/15/1989,01/01/2023,12/31/2023,   ,
1090,1018376,Child Care Center,MN Chinese Day Care & Learning Center,2300 N Hamline Ave,,,Roseville,MN,55113     ,Ramsey,(651) 633-6239,Active,MN Chinese Day Care and Learning Center,48 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/01/2002,01/01/2023,12/31/2023,   ,
1091,1055925,Child Care Center,MN Chinese Day Care and Learning Center,2520 Kenzie Terrace,,,Minneapolis,MN,55418     ,Hennepin,(651) 983-9559,Active,MN Chinese Day Care and Learning Center,25 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/07/2010,01/01/2023,12/31/2023,   ,
1092,1104362,Child Care Center,Monarch Montessori School,1669 ARCADE ST,,,Saint Paul,MN,55106-1000,Ramsey,(507) 271-7774,Active,Monarch Montessori School,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/08/2020,01/01/2023,12/31/2023,   ,
1093,1075907,Child Care Center,Montessori American Indian Childcare Center,1909 Ivy Ave E,,,Saint Paul,MN,55119     ,Ramsey,(651) 774-1620,Active,Montessori American Indian Childcare Center,30 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,11/19/2014,01/01/2023,12/31/2023,   ,
1094,803932,Child Care Center,Montessori Children's House,9508 Garfield Ave S, ,,Bloomington,MN,55420     ,Hennepin,(952) 881-4586,Active,"Montessori Children's House, Inc",45 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/03/1991,01/01/2023,12/31/2023,   ,
1095,1097753,Child Care Center,Montessori Children's House,2400 Division Street South,,,Northfield,MN,55057     ,Rice,(651) 204-6625,Active,Ray of Light Montessori Inc,46 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/01/2019,01/01/2023,12/31/2023,   ,
1096,1077990,Child Care Center,Montessori Learning LLC,1500 Edgewood Blvd,,,North Mankato,MN,56003     ,Nicollet,(507) 388-6859,Active,Montessori Learning LLC,48 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/09/2015,01/01/2023,12/31/2023,   ,
